time,x_in,y_out,d_in,err,w0,w1,w2,w3
10910000, 3314,-13798, 3896,-18371, 20890, 16941,  4748, 20963
11070000, 2408,   967, 3314, 20191, 11835,  6927,-10014,    49
11230000, 1266,  1856, 2408,  -266,  8835,  4741, -6768,  1388
11390000,    0,   547, 1266,  1266,  8642,  4634, -6413,  2227
11550000,-1266, -1685,    0,  1793,  6445,  2327, -8282,   889
11710000,-2408,   975,-1266, -2653,  6780,  2323, -8162,  1651
11870000,-3314,     6,-2408, -2816,  7387,   497, -6318,  3121
12030000,-3896,  3075,-3314, 22194,  1783,  7685,-10915, -6950
12190000,-4096, 26858,-3896,  4651, 20151, 25290, -1635, -9015
12350000,-3896, -8284,-4096, 29648, 19494, 10894, 14107,  5949
12510000,-3314,-11867,-3896, -8593, 32163, 25130, 22923, 31387
12670000,-2408,-18291,-3314,-17154,-29875,-23515, 30307,-17010
12830000,-1266, -7171,-2408, -6740,-28975,-27913, 26035, 30540
12990000,    0, -9242,-1266, -1266,-25219,-25844, 25945, 27315
13150000, 1266, -7201,    0, -3511,-22146,-23734, 26378, 24929
13310000, 2408, -3386, 1266,-11658,-24767,-26148, 27800, 23525
13470000, 3314,  3480, 2408,-18761,-31681,-17202,-32697,-26074
13630000, 3896,-26738, 3314, 14210,-12930, -6613, 25992, 22281
13790000, 4096, 21597, 3896, 32213,-23259,-21111, 20797,-31828
13950000, 3896, 29004, 4096, 29098, -6642,  1346,-16970, 24868
14110000, 3314, -9053, 3896, 32731,  1739, 22881, 11816,  3014
14270000, 2408,  8873, 3314,  6321,-25886,-19588, 27370, 24641
14430000, 1266,  5680, 2408,  6267,-28310,-21947, 27703, 23112
14590000,    0,  6930, 1266,  1266,-24954,-20100, 27506, 20123
14750000,-1266,  4868,    0,  3355,-22423,-18373, 27662, 17799
14910000,-2408,  1443,-1266, 10680,-13418, -5333,-17166,-29713
15070000,-3314,  8839,-2408,-27101, 19397, 27305, 14807, -6309
15230000,-3896,-29579,-3314,  5889, 31722, 22265,-18088,-30118
15390000,-4096, 16311,-3896,  9608,-10200,-14250, 26992, 15134
15550000,-3896, 14798,-4096,  9996,-26982,-27640,  3398,-18134
15710000,-3314, 18911,-3896, 23554, -3149, 10255, -5166,-26363
15870000,-2408,-17109,-3314,  1348,-29254,-10849, 28658, 16677
16030000,-1266, -3538,-2408, -5922,-29185,-13317, 28172, 15786
16210000,    0, -4976,    0,     0,-26304,-11801, 28913, 16098
16370000, 1266, -2842,    0,     0,-26304,-11801, 28913, 16098
16530000, 2408,  -429, 1266,     0,-26304,-11801, 28913, 16098
16690000, 3314,  2026, 2408,     0,-26304,-11801, 28913, 16098
16850000, 3896,  4281, 3314,     0,-26304,-11801, 28913, 16098
17010000, 4096,  6119, 3896,     0,-26304,-11801, 28913, 16098
17170000, 3896,  7354, 4096,     0,-26304,-11801, 28913, 16098
17330000, 3314,  7874, 3896,     0,-26304,-11801, 28913, 16098
17490000, 2408,  7620, 3314,     0,-26304,-11801, 28913, 16098
17650000, 1266,  6622, 2408,     0,-26304,-11801, 28913, 16098
17810000,    0,  4975, 1266,     0,-26304,-11801, 28913, 16098
17970000,-1266,  2841,    0,     0,-26304,-11801, 28913, 16098
18130000,-2408,   428,-1266,     0,-26304,-11801, 28913, 16098
18290000,-3314, -2027,-2408,     0,-26304,-11801, 28913, 16098
18450000,-3896, -4282,-3314,     0,-26304,-11801, 28913, 16098
18610000,-4096, -6120,-3896,     0,-26304,-11801, 28913, 16098
18770000,-3896, -7355,-4096,     0,-26304,-11801, 28913, 16098
18930000,-3314, -7875,-3896,     0,-26304,-11801, 28913, 16098
19090000,-2408, -7621,-3314,     0,-26304,-11801, 28913, 16098
19250000,-1266, -6623,-2408,     0,-26304,-11801, 28913, 16098
19410000,    0, -4976,-1266,     0,-26304,-11801, 28913, 16098
19570000, 1266, -2842,    0,     0,-26304,-11801, 28913, 16098
19730000, 2408,  -429, 1266,     0,-26304,-11801, 28913, 16098
19890000, 3314,  2026, 2408,     0,-26304,-11801, 28913, 16098
20050000, 3896,  4281, 3314,     0,-26304,-11801, 28913, 16098
20210000, 4096,  6119, 3896,     0,-26304,-11801, 28913, 16098
20370000, 3896,  7354, 4096,     0,-26304,-11801, 28913, 16098
20530000, 3314,  7874, 3896,     0,-26304,-11801, 28913, 16098
20690000, 2408,  7620, 3314,     0,-26304,-11801, 28913, 16098
20850000, 1266,  6622, 2408,     0,-26304,-11801, 28913, 16098
21010000,    0,  4975, 1266,     0,-26304,-11801, 28913, 16098
21170000,-1266,  2841,    0,     0,-26304,-11801, 28913, 16098
21330000,-2408,   428,-1266,     0,-26304,-11801, 28913, 16098
21490000,-3314, -2027,-2408,     0,-26304,-11801, 28913, 16098
21650000,-3896, -4282,-3314,     0,-26304,-11801, 28913, 16098
21810000,-4096, -6120,-3896,     0,-26304,-11801, 28913, 16098
21970000,-3896, -7355,-4096,     0,-26304,-11801, 28913, 16098
22130000,-3314, -7875,-3896,     0,-26304,-11801, 28913, 16098
22290000,-2408, -7621,-3314,     0,-26304,-11801, 28913, 16098
22450000,-1266, -6623,-2408,     0,-26304,-11801, 28913, 16098
22610000,    0, -4976,-1266,     0,-26304,-11801, 28913, 16098
22770000, 1266, -2842,    0,     0,-26304,-11801, 28913, 16098
22930000, 2408,  -429, 1266,     0,-26304,-11801, 28913, 16098
23090000, 3314,  2026, 2408,     0,-26304,-11801, 28913, 16098
23250000, 3896,  4281, 3314,     0,-26304,-11801, 28913, 16098
23410000, 4096,  6119, 3896,     0,-26304,-11801, 28913, 16098
23570000, 3896,  7354, 4096,     0,-26304,-11801, 28913, 16098
23730000, 3314,  7874, 3896,     0,-26304,-11801, 28913, 16098
23890000, 2408,  7620, 3314,     0,-26304,-11801, 28913, 16098
24050000, 1266,  6622, 2408,     0,-26304,-11801, 28913, 16098
24210000,    0,  4975, 1266,     0,-26304,-11801, 28913, 16098
24370000,-1266,  2841,    0,     0,-26304,-11801, 28913, 16098
24530000,-2408,   428,-1266,     0,-26304,-11801, 28913, 16098
24690000,-3314, -2027,-2408,     0,-26304,-11801, 28913, 16098
24850000,-3896, -4282,-3314,     0,-26304,-11801, 28913, 16098
25010000,-4096, -6120,-3896,     0,-26304,-11801, 28913, 16098
25170000,-3896, -7355,-4096,     0,-26304,-11801, 28913, 16098
25330000,-3314, -7875,-3896,     0,-26304,-11801, 28913, 16098
25490000,-2408, -7621,-3314,     0,-26304,-11801, 28913, 16098
25650000,-1266, -6623,-2408,     0,-26304,-11801, 28913, 16098
25810000,    0, -4976,-1266,     0,-26304,-11801, 28913, 16098
25970000, 1266, -2842,    0,     0,-26304,-11801, 28913, 16098
26130000, 2408,  -429, 1266,     0,-26304,-11801, 28913, 16098
26290000, 3314,  2026, 2408,     0,-26304,-11801, 28913, 16098
26450000, 3896,  4281, 3314,     0,-26304,-11801, 28913, 16098
26610000, 4096,  6119, 3896,     0,-26304,-11801, 28913, 16098
26770000, 3896,  7354, 4096,     0,-26304,-11801, 28913, 16098
26930000, 3314,  7874, 3896,     0,-26304,-11801, 28913, 16098
27090000, 2408,  7620, 3314,     0,-26304,-11801, 28913, 16098
27250000, 1266,  6622, 2408,     0,-26304,-11801, 28913, 16098
27410000,    0,  4975, 1266,     0,-26304,-11801, 28913, 16098
27570000,-1266,  2841,    0,     0,-26304,-11801, 28913, 16098
27730000,-2408,   428,-1266,     0,-26304,-11801, 28913, 16098
27890000,-3314, -2027,-2408,     0,-26304,-11801, 28913, 16098
28050000,-3896, -4282,-3314,     0,-26304,-11801, 28913, 16098
28210000,-4096, -6120,-3896,     0,-26304,-11801, 28913, 16098
28370000,-3896, -7355,-4096,     0,-26304,-11801, 28913, 16098
28530000,-3314, -7875,-3896,     0,-26304,-11801, 28913, 16098
28690000,-2408, -7621,-3314,     0,-26304,-11801, 28913, 16098
28850000,-1266, -6623,-2408,     0,-26304,-11801, 28913, 16098
29010000,    0, -4976,-1266,     0,-26304,-11801, 28913, 16098
29170000, 1266, -2842,    0,     0,-26304,-11801, 28913, 16098
29330000, 2408,  -429, 1266,     0,-26304,-11801, 28913, 16098
29490000, 3314,  2026, 2408,     0,-26304,-11801, 28913, 16098
29650000, 3896,  4281, 3314,     0,-26304,-11801, 28913, 16098
29810000, 4096,  6119, 3896,     0,-26304,-11801, 28913, 16098
29970000, 3896,  7354, 4096,     0,-26304,-11801, 28913, 16098
30130000, 3314,  7874, 3896,     0,-26304,-11801, 28913, 16098
30290000, 2408,  7620, 3314,     0,-26304,-11801, 28913, 16098
30450000, 1266,  6622, 2408,     0,-26304,-11801, 28913, 16098
30610000,    0,  4975, 1266,     0,-26304,-11801, 28913, 16098
30770000,-1266,  2841,    0,     0,-26304,-11801, 28913, 16098
30930000,-2408,   428,-1266,     0,-26304,-11801, 28913, 16098
31090000,-3314, -2027,-2408,     0,-26304,-11801, 28913, 16098
31250000,-3896, -4282,-3314,     0,-26304,-11801, 28913, 16098
31410000,-4096, -6120,-3896,     0,-26304,-11801, 28913, 16098
31570000,-3896, -7355,-4096,     0,-26304,-11801, 28913, 16098
31730000,-3314, -7875,-3896,     0,-26304,-11801, 28913, 16098
31890000,-2408, -7621,-3314,     0,-26304,-11801, 28913, 16098
32050000,-1266, -6623,-2408,     0,-26304,-11801, 28913, 16098
